# iter, br_Ha_amp, br_Ha_voff, na_Ha_outflow_voff, na_Ha_core_voff, stel_vel, na_feii_amp, stel_disp, na_Ha_outflow_fwhm, na_Ha_outflow_amp, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, br_Ha_fwhm, na_Ha_core_amp, na_sii6732_core_amp, power_slope, br_feii_amp, na_sii6718_core_amp
6200, 13.3486433344, 263.362130027, -192.069757755, 94.2126665292, 135.788623523, 2.24365124783, 178.367924397, 1181.5293406, 44.2930125933, 167.149749781, 12.1668968293, 76.701182381, 4919.91553393, 135.630843705, 12.0498001852, -0.220673958499, 3.48496751471, 12.3956767354
6300, 13.4013367228, 261.110350352, -192.170498019, 93.9399183659, 138.068898563, 2.02508398584, 185.404919404, 1180.04883199, 44.2842121178, 167.049758345, 12.2253492246, 76.7890218937, 4878.5671411, 135.805787277, 12.1016201349, -0.238816043728, 3.55571537366, 12.3851204685
6400, 13.4676673328, 258.21355371, -192.452647663, 93.7223832214, 139.086897052, 2.19305963542, 188.17715149, 1178.5922588, 44.3801184925, 166.588711377, 11.6167523702, 76.9048728746, 4871.8888356, 135.883888481, 12.0802077406, -0.265571722972, 3.58127103644, 12.401589664
6500, 13.5123177998, 259.722129431, -192.666625542, 94.0463253358, 133.364879787, 2.32129675813, 187.100155593, 1176.6058238, 44.3301903868, 166.727828437, 11.4818437868, 76.7847912965, 4857.06876727, 135.939427589, 12.1023279712, -0.215771477059, 3.63678879744, 12.4679421033
6600, 13.4865544094, 259.330827838, -192.117726556, 94.1378624265, 136.948187439, 2.41043398409, 185.769457753, 1171.84985567, 44.4382987001, 167.276382993, 11.7698056182, 76.6947274133, 4867.22531822, 135.763093315, 12.0632024912, -0.156489035483, 3.64908587367, 12.4024831118
6700, 13.4223983185, 257.005950949, -192.899673514, 94.2509226966, 139.188154099, 2.36288146205, 182.977026633, 1171.95744513, 44.4635944923, 167.077362377, 11.9883791124, 76.6866910593, 4898.70423346, 135.531675742, 12.1590858736, -0.193709898216, 3.62703582181, 12.2999470826
6800, 13.537804998, 254.974107543, -192.498744463, 94.2313123968, 141.434416394, 2.41043251302, 179.249443674, 1170.4290422, 44.5215895661, 167.890595897, 11.8793549674, 76.5935450484, 4872.14008944, 135.416177019, 12.116976447, -0.1948133949, 3.6248485672, 12.3266438849
6900, 13.4675047466, 258.417442329, -191.873945632, 94.2093631379, 143.945395419, 2.66682257834, 184.399476822, 1172.47016113, 44.4747909391, 167.52624811, 11.4913255121, 76.7254398671, 4931.89511516, 135.476151399, 12.062077249, -0.172887334291, 3.55892903596, 12.3590683638
7000, 13.228256591, 262.976571784, -193.006203439, 94.3390087758, 141.397055805, 2.48751629903, 183.523431182, 1180.73158828, 44.4510890917, 167.243333821, 11.5310147611, 76.8533286993, 4967.18840716, 135.64967746, 12.0345839888, -0.208080011334, 3.49776665466, 12.3312472403
7100, 13.3856604955, 259.317279678, -193.947999371, 94.2955486747, 143.830216422, 2.35458405186, 186.36873548, 1180.49975575, 44.3069829176, 167.165413355, 11.8401409411, 76.8906137655, 4903.2149306, 135.59658664, 12.0588109664, -0.232579262952, 3.53297527282, 12.3539021555
7200, 13.4129793215, 256.986360304, -193.151144007, 94.242544832, 146.350203518, 2.23803223237, 176.067275489, 1177.07452425, 44.5235586385, 167.510917544, 11.8359281765, 76.8608753387, 4897.59521051, 135.998517013, 12.1261369182, -0.227633180778, 3.58742628643, 12.4326836113
7300, 13.3917104455, 262.923410454, -192.48044767, 94.0260018167, 146.148413644, 2.35643516484, 173.75780058, 1178.92471456, 44.4409214319, 167.592023621, 11.7537790542, 76.8377474629, 4908.97352003, 135.972746996, 12.1405659294, -0.206957144537, 3.66510403477, 12.4262462665
7400, 13.3330345149, 265.22212141, -192.886842822, 94.0129840612, 140.660328084, 2.31596752875, 178.316440475, 1176.97823605, 44.4385015497, 167.138094876, 11.4754112732, 76.7637044782, 4940.09813667, 135.792019077, 12.0761351763, -0.146308402708, 3.62843786876, 12.4088320638
7500, 13.3572948627, 261.506064078, -191.429044027, 94.0009750311, 143.288849262, 2.42976053573, 172.667817057, 1175.13960007, 44.4766914791, 167.117386603, 11.7215243949, 76.7135560772, 4939.84043304, 136.003722035, 12.0638212753, -0.183390215709, 3.62456973479, 12.3752449808
7600, 13.2730810419, 261.771207863, -190.374899971, 94.2088293961, 147.343277256, 2.61120847658, 174.810277504, 1176.59571338, 44.3564670134, 168.037845439, 11.1900909558, 76.6958652572, 4933.40413653, 135.769689707, 12.0403041417, -0.17558858649, 3.64993246309, 12.3860867376
7700, 13.261409391, 259.999948943, -190.169371222, 94.114562698, 139.734331068, 2.53751848936, 181.15797397, 1176.89140192, 44.3835364866, 168.038755795, 11.3666600597, 76.777587737, 4955.58795914, 136.175206478, 12.0794785915, -0.180171148139, 3.58935401193, 12.3734704156
7800, 13.2838294992, 255.012377831, -190.235444777, 94.2803790968, 135.31262459, 2.41718972339, 193.939970079, 1178.87333321, 44.4866941774, 167.332623436, 11.593719261, 76.9116337607, 4937.91572024, 135.898700822, 12.047157969, -0.214130951436, 3.56634235469, 12.4098985205
7900, 13.3503387176, 256.517809873, -190.39253244, 94.2405861781, 140.615292626, 2.31425798105, 187.685640481, 1181.96364858, 44.3985281474, 167.639021784, 11.2019293742, 76.7772934768, 4922.59137706, 136.083655209, 12.063236019, -0.17181436012, 3.55503967898, 12.3761483639
8000, 13.2762908108, 263.536676802, -192.102336881, 94.1933469768, 135.079286618, 2.24964910864, 197.679625524, 1181.43786816, 44.4594375381, 167.304465589, 11.2631067431, 76.8197416617, 4951.18619996, 135.724590064, 12.1085841664, -0.157108550843, 3.6195681975, 12.2142650744
8100, 13.4132475604, 261.344163447, -191.65731356, 94.1399253976, 139.282671564, 2.39169502002, 187.342261188, 1178.39571828, 44.4248351065, 168.126639665, 11.6821550263, 76.6656848564, 4937.37021368, 135.570019315, 12.0143985166, -0.14432527328, 3.55787320765, 12.2469050035
8200, 13.4743226983, 256.224440597, -191.955453863, 94.1650479132, 143.319782069, 2.13343068047, 178.035780639, 1179.60932207, 44.5002859739, 168.332519716, 11.7125063985, 76.7671756708, 4920.39262222, 135.641264485, 12.0905623331, -0.165429789756, 3.61921511855, 12.3449575598
