# iter, br_Ha_amp, br_Hb_fwhm, br_feii_amp, na_oiii5007_outflow_fwhm, br_Ha_fwhm, br_Hb_voff, na_oiii5007_outflow_voff, na_oiii5007_core_fwhm, na_feii_amp, na_Ha_core_voff, na_oiii5007_core_amp, na_Hb_core_amp, stel_disp, stel_vel, na_sii6718_core_amp, na_sii6732_core_amp, na_oiii5007_core_voff, br_Ha_voff, br_Hb_amp, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, na_oiii5007_outflow_amp, na_Ha_core_amp, power_slope, na_Hb_core_voff
3000, 22.425154329, 3807.60891371, 5.72740014448, 981.550163934, 3724.50660543, 277.157022572, -196.852028721, 221.790995494, 0.277232212596, 95.8332057949, 56.550110247, 40.1474247959, 110.918377545, 130.220666941, 13.818881481, 12.9855950078, 11.0087674399, 125.734611122, 13.1589617468, 167.509293275, 8.90143537022, 76.6953172706, 16.1671411017, 140.967354639, 1.3159006577, 95.0407228106
3100, 22.3736610817, 3822.60841545, 5.73139292041, 981.664412967, 3718.68889133, 277.404549601, -197.491393755, 221.271066712, 0.246602065009, 95.8160019339, 56.3490396558, 40.0631442503, 111.187379892, 129.960394948, 13.7333864488, 12.9107959, 11.0657561917, 123.738913385, 13.112472441, 168.148568113, 8.80892874394, 76.6270463134, 16.1843892626, 140.714488396, 1.31969649154, 94.6010101923
3200, 22.3728364366, 3821.55186014, 5.75225242047, 981.695916712, 3733.2347011, 274.706231199, -196.20972657, 220.018440122, 0.233973939831, 95.7909282554, 56.315021289, 40.1064061626, 111.09965602, 130.782223388, 13.7188156146, 12.9505769706, 11.234800606, 123.713549329, 13.1129699034, 167.617704311, 8.87485554448, 76.5548617361, 16.2098062009, 140.76147884, 1.31644483725, 94.8138384366
3300, 22.5864945015, 3815.29085843, 5.76170918394, 981.981219765, 3711.03369209, 275.30713405, -196.81813979, 220.000264383, 0.240066845738, 95.8388222253, 56.4318172552, 40.1351449597, 111.12700269, 130.573538378, 13.7423283979, 12.9866445925, 11.2723878851, 123.977001519, 13.1317702777, 167.508132387, 8.79850973551, 76.5136772152, 16.1249631338, 141.120550485, 1.32706047229, 94.9015633006
3400, 22.5140277503, 3821.99464722, 5.76407280942, 980.973962272, 3712.39812375, 274.466765616, -195.113996541, 219.285178088, 0.249733874331, 95.7878046279, 56.4820967007, 40.1436514697, 111.390713851, 131.463705233, 13.6818951053, 12.9784247121, 11.3103052769, 124.660894009, 13.181538106, 167.00164401, 8.90886071128, 76.4131285645, 16.2241227356, 140.79247225, 1.29057540757, 94.9201199704
3500, 22.4911872023, 3818.20735276, 5.74650467951, 981.472722179, 3717.73907637, 275.240628616, -195.135605556, 219.093353748, 0.251920793547, 95.7194509415, 56.6135458969, 40.0366936265, 112.164093678, 132.408165363, 13.7264785367, 12.9885295617, 11.367484669, 123.095087357, 13.2150783399, 167.327004596, 8.97175532227, 76.4968524536, 16.2266180934, 140.779447583, 1.29920032204, 94.6412453676
3600, 22.6035877738, 3803.57808039, 5.7443655525, 979.164400064, 3709.15901913, 269.093374706, -195.005531349, 218.419846817, 0.244868823622, 95.8438622386, 56.728731362, 40.1187651528, 110.289655064, 132.333989349, 13.8343870954, 12.8511291059, 11.315086824, 121.681817635, 13.2381200462, 167.216745846, 8.96668257517, 76.6123824294, 16.3194998127, 140.888357212, 1.30286671801, 94.5702517489
3700, 22.4269259546, 3793.06381916, 5.72763654834, 982.365265486, 3713.75575824, 270.377818619, -194.421582621, 219.149036493, 0.231425393423, 95.8983098029, 56.6384549806, 40.3117681831, 110.701187269, 132.198187946, 13.8128548162, 12.9096720036, 11.3577450411, 123.907223737, 13.2682478738, 167.914029927, 9.07924087726, 76.5652269832, 16.2661797065, 140.896490191, 1.26650003383, 94.7494105731
3800, 22.4398190871, 3792.06063663, 5.7046576893, 981.908676872, 3715.96541021, 271.807172103, -194.884377282, 219.517632639, 0.228154346985, 95.9849621006, 56.5826563303, 40.2739110337, 109.899281696, 132.367192846, 13.7698693319, 12.8971563487, 11.4720485725, 126.134498242, 13.2650800451, 167.813334288, 9.03345683402, 76.6555731091, 16.2607625552, 140.726608138, 1.29901010287, 95.4715020435
3900, 22.4968511651, 3788.93350842, 5.71305962481, 976.483553751, 3717.2451189, 274.659764809, -196.402850491, 219.506556742, 0.292518863608, 95.8999480892, 56.5254304944, 40.1264873123, 111.10109594, 132.552358639, 13.7243806085, 12.9849973764, 11.1595818475, 124.177289157, 13.3036518968, 167.915869391, 9.0378692947, 76.5328297866, 16.2499198102, 140.622132363, 1.28879431822, 95.4673189826
